epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.82622,1.16874,3.56525,1.38886,0.02037,0.87544,0.25064,0.17826,1.06655,3.5186,1.43957,0.00035552,0.00035552,0.00035552
2,16.3536,1.25064,2.89072,1.45094,0.76366,0.04891,0.17346,0.08189,1.7703,3.54218,2.18742,0.000715001,0.000715001,0.000715001
3,23.8113,1.34839,2.56281,1.50086,0.34234,0.11105,0.20546,0.09319,1.99936,3.42947,2.23497,0.00106722,0.00106722,0.00106722
4,31.2829,1.32628,2.32665,1.48214,0.26709,0.40023,0.28964,0.13733,1.83227,2.89233,2.149,0.001078,0.001078,0.001078
5,38.6647,1.29091,2.10436,1.42784,0.29871,0.28912,0.27521,0.10696,1.94266,3.17567,2.39213,0.001067,0.001067,0.001067
6,46.1065,1.26083,2.00781,1.41794,0.30895,0.41931,0.25937,0.12997,1.66919,3.12443,2.11961,0.00105601,0.00105601,0.00105601
7,53.5494,1.26813,1.92118,1.45236,0.48537,0.39806,0.39301,0.19678,1.72137,2.83223,2.0883,0.00104501,0.00104501,0.00104501
8,61.0297,1.27648,1.83816,1.41978,0.52343,0.51125,0.49261,0.23891,1.69202,2.56079,2.15617,0.00103401,0.00103401,0.00103401
9,68.4525,1.19136,1.71381,1.35614,0.47713,0.52984,0.45263,0.25126,1.63269,2.39701,2.11128,0.00102301,0.00102301,0.00102301
10,75.9099,1.17447,1.66292,1.37109,0.57501,0.43393,0.42984,0.23626,1.64281,2.16956,2.08347,0.00101201,0.00101201,0.00101201
11,83.4381,1.14006,1.54567,1.32803,0.39584,0.43176,0.42349,0.24095,1.56387,2.23192,1.94963,0.00100101,0.00100101,0.00100101
12,90.9156,1.11905,1.47295,1.31979,0.75958,0.45368,0.50214,0.25307,1.70718,2.05454,2.07999,0.000990012,0.000990012,0.000990012
13,98.3672,1.04963,1.32183,1.26335,0.5422,0.41495,0.44,0.27844,1.65469,2.03587,2.10159,0.000979013,0.000979013,0.000979013
14,105.79,1.09479,1.32735,1.29149,0.57829,0.40902,0.46381,0.28541,1.51438,2.05477,1.89379,0.000968014,0.000968014,0.000968014
15,113.296,1.09399,1.35437,1.3077,0.55071,0.43309,0.46027,0.27715,1.66773,1.9211,2.16657,0.000957015,0.000957015,0.000957015
16,120.849,1.03959,1.25905,1.24355,0.57794,0.52923,0.50741,0.28169,1.5423,1.82458,1.98569,0.000946016,0.000946016,0.000946016
17,128.33,1.01736,1.17348,1.25788,0.75083,0.41319,0.51793,0.28154,1.46428,1.87829,1.87222,0.000935018,0.000935018,0.000935018
18,135.995,1.01588,1.15011,1.22907,0.67775,0.54032,0.52483,0.29382,1.51095,1.85073,1.9349,0.000924019,0.000924019,0.000924019
19,143.612,1.0154,1.06988,1.22312,0.56909,0.27428,0.32794,0.18548,1.87634,2.964,2.39409,0.00091302,0.00091302,0.00091302
20,151.03,0.97465,1.03135,1.21193,0.58023,0.55319,0.59493,0.34895,1.52333,1.57992,1.89134,0.000902021,0.000902021,0.000902021
21,158.367,0.92049,0.99071,1.17907,0.61707,0.5748,0.57048,0.32179,1.47378,2.02867,1.97796,0.000891022,0.000891022,0.000891022
22,165.665,0.92214,0.97017,1.18316,0.6137,0.63118,0.62141,0.33886,1.45057,1.54311,1.82799,0.000880023,0.000880023,0.000880023
23,173.068,0.90735,0.94904,1.1708,0.60925,0.50378,0.50005,0.29411,1.63437,2.40357,2.0104,0.000869024,0.000869024,0.000869024
24,180.466,0.89855,0.92482,1.16114,0.58304,0.69527,0.66839,0.41536,1.50399,1.78568,1.90178,0.000858025,0.000858025,0.000858025
25,187.838,0.8981,0.9072,1.16539,0.51504,0.42858,0.40348,0.21126,1.75986,2.30783,2.2319,0.000847026,0.000847026,0.000847026
26,195.188,0.88461,0.88112,1.13762,0.66637,0.61883,0.62577,0.35437,1.63139,1.64446,2.06468,0.000836027,0.000836027,0.000836027
27,202.559,0.85754,0.83638,1.12279,0.45608,0.56461,0.49092,0.28899,1.57505,2.06626,1.9485,0.000825029,0.000825029,0.000825029
28,210.025,0.81917,0.81619,1.11963,0.75748,0.51858,0.60344,0.37564,1.43672,1.66257,1.86214,0.00081403,0.00081403,0.00081403
29,217.31,0.79362,0.79875,1.09587,0.70593,0.54648,0.67622,0.39556,1.39542,1.64298,1.79893,0.000803031,0.000803031,0.000803031
30,224.656,0.81955,0.7459,1.12734,0.61776,0.53227,0.59245,0.31956,1.5416,1.71164,1.89957,0.000792032,0.000792032,0.000792032
31,232.029,0.79111,0.74197,1.10038,0.55327,0.46504,0.5004,0.30843,1.68264,1.86507,2.05241,0.000781033,0.000781033,0.000781033
